"V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21"
"ERCC-00145" 38 32 43 40 35 43 26 55 32 38 45 35 36 41 33 33 51 46 51 35
"ERCC-00147" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0
"ERCC-00148" 0 1 1 2 0 4 1 2 0 0 0 0 0 1 1 1 3 0 2 0
"ERCC-00150" 0 0 0 0 1 1 0 0 0 2 1 0 1 1 0 0 0 0 1 0
"ERCC-00154" 0 0 0 0 0 1 2 1 0 0 1 0 0 0 0 1 0 2 3 1
"ERCC-00156" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"ERCC-00157" 2 0 2 0 1 0 0 1 0 0 1 0 0 3 1 0 2 0 0 0
"ERCC-00158" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERCC-00160" 0 3 1 0 2 1 0 3 0 1 2 0 2 0 0 2 1 1 0 3
"ERCC-00162" 8 6 11 5 7 15 10 9 9 6 10 7 7 9 6 8 6 1 5 6
"ERCC-00163" 1 4 0 2 2 0 0 1 0 2 0 0 2 5 0 1 1 0 1 2
"ERCC-00164" 0 0 1 0 0 0 3 0 1 0 0 0 0 0 0 0 0 0 0 0
"ERCC-00165" 2 3 4 4 4 5 3 5 3 3 5 1 5 1 2 4 3 2 3 5
"ERCC-00168" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERCC-00170" 4 3 0 1 1 2 2 3 3 4 2 1 3 1 2 1 3 4 1 3
"ERCC-00171" 214 184 247 208 225 254 210 259 227 294 302 226 282 258 261 258 251 257 246 227
